Position,Username,Score,Submits,Last Submit,Submitsold,Top Score,Last Submitold
1,MatiMoreyra,3.74304,29,2021-08-11 17:47:57 UTC,29,3.74041,2021-08-11 17:47:57 UTC
2,lucerago,3.78424,5,2021-08-11 13:30:20 UTC,5,3.78424,2021-08-11 13:30:20 UTC
3,isonettv,3.79903,5,2021-08-12 01:25:05 UTC,5,3.79903,2021-08-12 01:25:05 UTC
4,fernandocamargo,4.03082,31,2021-08-12 09:36:35 UTC,31,4.03082,2021-08-12 09:36:35 UTC
5,eduagarcia,4.04774,11,2021-08-12 14:08:23 UTC,11,4.04774,2021-08-12 14:08:23 UTC
6,LeonSilva,4.25408,12,2021-08-11 04:24:10 UTC,12,4.22803,2021-08-11 04:24:10 UTC
9,mariofilho,4.32717,61,2021-08-10 14:01:26 UTC,61,4.27716,2021-08-10 14:01:26 UTC
7,Gus,4.27723,15,2021-08-11 22:24:09 UTC,15,4.27723,2021-08-11 22:24:09 UTC
8,fabio_cceruti,4.32023,5,2021-08-10 12:26:18 UTC,5,4.32023,2021-08-10 12:26:18 UTC
89,igorkf,7.99512,22,2021-08-12 12:36:42 UTC,22,4.42734,2021-08-12 12:36:42 UTC
10,pllvs,4.43211,4,2021-08-12 01:10:37 UTC,4,4.43211,2021-08-12 01:10:37 UTC
11,lean_franco,4.44984,2,2021-08-12 13:46:37 UTC,2,4.44984,2021-08-12 13:46:37 UTC
12,GSichelero,4.49487,17,2021-08-11 04:36:47 UTC,17,4.45548,2021-08-11 04:36:47 UTC
20,mateuskiper,4.65759,18,2021-08-10 02:32:49 UTC,18,4.52235,2021-08-10 02:32:49 UTC
13,leandroroser,4.5611,27,2021-08-09 01:39:56 UTC,27,4.55279,2021-08-09 01:39:56 UTC
14,zmc,4.57583,6,2021-08-11 01:27:09 UTC,6,4.57583,2021-08-11 01:27:09 UTC
15,fabiojunior,4.59243,7,2021-08-11 22:15:11 UTC,7,4.59243,2021-08-11 22:15:11 UTC
16,Rogerup,4.60337,48,2021-08-04 21:54:13 UTC,48,4.60337,2021-08-04 21:54:13 UTC
17,amanhard,4.60962,12,2021-08-05 21:12:48 UTC,12,4.60962,2021-08-05 21:12:48 UTC
18,lucasveljacic,4.61674,1,2021-08-09 00:36:49 UTC,1,4.61674,2021-08-09 00:36:49 UTC
19,ekamioka,4.64347,6,2021-08-06 18:22:12 UTC,6,4.64347,2021-08-06 18:22:12 UTC
21,jcnok,4.66418,7,2021-08-11 23:00:28 UTC,7,4.645230000000001,2021-08-11 23:00:28 UTC
22,rhg,4.6915,42,2021-08-03 22:39:44 UTC,42,4.6915,2021-08-03 22:39:44 UTC
23,Gabo,4.87886,37,2021-08-12 10:59:18 UTC,37,4.87886,2021-08-12 10:59:18 UTC
24,fernandoramacciotti,4.88988,1,2021-08-10 16:45:00 UTC,1,4.88988,2021-08-10 16:45:00 UTC
25,marking,4.90874,13,2021-08-07 01:10:40 UTC,13,4.90874,2021-08-07 01:10:40 UTC
28,Six_year_old,4.93411,1,2021-08-11 01:46:54 UTC,1,4.93411,2021-08-11 01:46:54 UTC
26,glissa,4.93411,1,2021-08-05 23:27:06 UTC,1,4.93411,2021-08-05 23:27:06 UTC
27,Joaguto,4.93411,5,2021-08-09 11:29:04 UTC,5,4.93411,2021-08-09 11:29:04 UTC
30,augu2to,5.05603,3,2021-08-10 15:07:59 UTC,3,5.03019,2021-08-10 15:07:59 UTC
29,tmprota,5.04117,3,2021-07-29 23:55:55 UTC,3,5.04117,2021-07-29 23:55:55 UTC
67,Shulito,5.49137,6,2021-08-11 21:58:34 UTC,6,5.07266,2021-08-11 21:58:34 UTC
70,nicalvarez,5.53329,4,2021-08-06 03:03:54 UTC,4,5.07354,2021-08-06 03:03:54 UTC
35,celoko,5.07354,1,2021-08-12 13:48:02 UTC,1,5.07354,2021-08-12 13:48:02 UTC
91,wittmannf,8.11851,5,2021-08-09 17:31:30 UTC,5,5.07354,2021-08-09 17:31:30 UTC
33,laciarmauro,5.07354,2,2021-08-08 19:59:01 UTC,2,5.07354,2021-08-08 19:59:01 UTC
32,raphidophora,5.07354,22,2021-08-07 19:57:32 UTC,22,5.07354,2021-08-07 19:57:32 UTC
31,mikaelsouza,5.07354,1,2021-08-05 22:42:41 UTC,1,5.07354,2021-08-05 22:42:41 UTC
34,slportela,5.07354,8,2021-08-10 23:05:28 UTC,8,5.07354,2021-08-10 23:05:28 UTC
36,lhzp,5.07969,3,2021-07-19 20:50:46 UTC,3,5.07969,2021-07-19 20:50:46 UTC
37,ricardo.ferreras,5.08816,14,2021-08-10 21:26:07 UTC,14,5.08816,2021-08-10 21:26:07 UTC
38,adson,5.11068,1,2021-07-20 01:31:00 UTC,1,5.11068,2021-07-20 01:31:00 UTC
97,Felipe Carneiro Wanderley,8.95728,8,2021-08-10 02:47:42 UTC,8,5.13169,2021-08-10 02:47:42 UTC
53,MVU,5.13169,1,2021-07-31 14:22:07 UTC,1,5.13169,2021-07-31 14:22:07 UTC
59,Geilson,5.13169,1,2021-08-06 20:57:19 UTC,1,5.13169,2021-08-06 20:57:19 UTC
58,joaquinfontela,5.13169,1,2021-08-05 23:33:13 UTC,1,5.13169,2021-08-05 23:33:13 UTC
57,borgesmarc,5.13169,3,2021-08-05 20:11:19 UTC,3,5.13169,2021-08-05 20:11:19 UTC
56,urobhi,5.13169,4,2021-08-02 03:44:08 UTC,4,5.13169,2021-08-02 03:44:08 UTC
55,exsantucho,5.13169,1,2021-08-02 01:42:26 UTC,1,5.13169,2021-08-02 01:42:26 UTC
54,JuliKM,5.13169,1,2021-08-01 00:41:09 UTC,1,5.13169,2021-08-01 00:41:09 UTC
52,Apurrencio,5.13169,1,2021-07-30 23:20:37 UTC,1,5.13169,2021-07-30 23:20:37 UTC
51,aseidel,5.13169,1,2021-07-29 22:20:41 UTC,1,5.13169,2021-07-29 22:20:41 UTC
50,alexandrebvd,5.13169,1,2021-07-28 00:05:19 UTC,1,5.13169,2021-07-28 00:05:19 UTC
39,wonderw,5.13169,1,2021-07-15 19:46:08 UTC,1,5.13169,2021-07-15 19:46:08 UTC
42,mpasqualini,5.13169,1,2021-07-20 18:28:05 UTC,1,5.13169,2021-07-20 18:28:05 UTC
43,sjlva,5.13169,1,2021-07-21 16:36:55 UTC,1,5.13169,2021-07-21 16:36:55 UTC
40,danielph,5.13169,1,2021-07-16 20:55:11 UTC,1,5.13169,2021-07-16 20:55:11 UTC
44,lgodoy,5.13169,1,2021-07-21 18:44:08 UTC,1,5.13169,2021-07-21 18:44:08 UTC
41,haroldgarcia94,5.13169,1,2021-07-20 04:29:46 UTC,1,5.13169,2021-07-20 04:29:46 UTC
48,toro366,5.13169,1,2021-07-26 14:53:03 UTC,1,5.13169,2021-07-26 14:53:03 UTC
49,anabeatriz,5.13169,1,2021-07-26 22:00:18 UTC,1,5.13169,2021-07-26 22:00:18 UTC
45,Fabricio,5.13169,1,2021-07-22 23:07:26 UTC,1,5.13169,2021-07-22 23:07:26 UTC
47,fabiancpl,5.13169,1,2021-07-24 14:23:57 UTC,1,5.13169,2021-07-24 14:23:57 UTC
46,santik,5.13169,4,2021-07-23 18:43:34 UTC,4,5.13169,2021-07-23 18:43:34 UTC
60,larry96,5.13317,14,2021-08-02 01:50:46 UTC,14,5.13317,2021-08-02 01:50:46 UTC
61,abjimenez,5.15693,23,2021-08-02 05:31:24 UTC,23,5.15693,2021-08-02 05:31:24 UTC
74,mmft,6.03067,5,2021-08-12 14:14:06 UTC,5,5.20045,2021-08-12 14:14:06 UTC
99,Ivo,9.26419,16,2021-08-11 12:02:43 UTC,16,5.25659,2021-08-11 12:02:43 UTC
62,fede_gr,5.26665,22,2021-07-24 00:47:47 UTC,22,5.26665,2021-07-24 00:47:47 UTC
