Position,Username,Score,Submits,Last Submit,Submitsold,Top Score,Last Submitold
1,MatiMoreyra,3.77741,23,2021-08-07 01:01:43 UTC,23,3.77741,2021-08-07 01:01:43 UTC
2,fernandocamargo,4.2398,24,2021-08-09 11:22:10 UTC,24,4.2398,2021-08-09 11:22:10 UTC
3,mariofilho,4.293,58,2021-08-09 15:14:58 UTC,58,4.27716,2021-08-09 15:14:58 UTC
4,LeonSilva,4.3254,7,2021-08-09 06:51:05 UTC,7,4.3254,2021-08-09 06:51:05 UTC
5,GSichelero,4.46193,10,2021-08-09 08:39:16 UTC,10,4.46193,2021-08-09 08:39:16 UTC
6,mateuskiper,4.52235,17,2021-08-09 00:22:08 UTC,17,4.52235,2021-08-09 00:22:08 UTC
7,igorkf,4.53494,20,2021-08-08 04:04:50 UTC,20,4.53494,2021-08-08 04:04:50 UTC
8,leandroroser,4.5611,27,2021-08-09 01:39:56 UTC,27,4.5611,2021-08-09 01:39:56 UTC
9,Rogerup,4.60337,48,2021-08-04 21:54:13 UTC,48,4.60337,2021-08-04 21:54:13 UTC
10,amanhard,4.60962,12,2021-08-05 21:12:48 UTC,12,4.60962,2021-08-05 21:12:48 UTC
11,lucasveljacic,4.61674,1,2021-08-09 00:36:49 UTC,1,4.61674,2021-08-09 00:36:49 UTC
12,fabio_cceruti,4.62218,1,2021-08-08 08:17:10 UTC,1,4.62218,2021-08-08 08:17:10 UTC
13,ekamioka,4.64347,6,2021-08-06 18:22:12 UTC,6,4.64347,2021-08-06 18:22:12 UTC
81,wittmannf,8.11851,5,2021-08-09 17:31:30 UTC,4,4.68872,2021-08-09 17:13:07 UTC
14,rhg,4.6915,42,2021-08-03 22:39:44 UTC,42,4.6915,2021-08-03 22:39:44 UTC
15,fabiojunior,4.83477,6,2021-08-05 18:46:57 UTC,6,4.83477,2021-08-05 18:46:57 UTC
16,marking,4.90874,13,2021-08-07 01:10:40 UTC,13,4.90874,2021-08-07 01:10:40 UTC
18,Joaguto,4.93411,5,2021-08-09 11:29:04 UTC,5,4.93411,2021-08-09 11:29:04 UTC
17,glissa,4.93411,1,2021-08-05 23:27:06 UTC,1,4.93411,2021-08-05 23:27:06 UTC
19,augu2to,5.03019,2,2021-08-07 23:34:16 UTC,2,5.03019,2021-08-07 23:34:16 UTC
20,tmprota,5.04117,3,2021-07-29 23:55:55 UTC,3,5.04117,2021-07-29 23:55:55 UTC
21,mikaelsouza,5.07354,1,2021-08-05 22:42:41 UTC,1,5.07354,2021-08-05 22:42:41 UTC
22,raphidophora,5.07354,22,2021-08-07 19:57:32 UTC,22,5.07354,2021-08-07 19:57:32 UTC
23,laciarmauro,5.07354,2,2021-08-08 19:59:01 UTC,2,5.07354,2021-08-08 19:59:01 UTC
24,lhzp,5.07969,3,2021-07-19 20:50:46 UTC,3,5.07969,2021-07-19 20:50:46 UTC
25,ricardo.ferreras,5.08816,11,2021-08-01 13:09:42 UTC,11,5.08816,2021-08-01 13:09:42 UTC
26,adson,5.11068,1,2021-07-20 01:31:00 UTC,1,5.11068,2021-07-20 01:31:00 UTC
39,aseidel,5.13169,1,2021-07-29 22:20:41 UTC,1,5.13169,2021-07-29 22:20:41 UTC
47,Geilson,5.13169,1,2021-08-06 20:57:19 UTC,1,5.13169,2021-08-06 20:57:19 UTC
45,borgesmarc,5.13169,3,2021-08-05 20:11:19 UTC,3,5.13169,2021-08-05 20:11:19 UTC
44,urobhi,5.13169,4,2021-08-02 03:44:08 UTC,4,5.13169,2021-08-02 03:44:08 UTC
43,exsantucho,5.13169,1,2021-08-02 01:42:26 UTC,1,5.13169,2021-08-02 01:42:26 UTC
42,JuliKM,5.13169,1,2021-08-01 00:41:09 UTC,1,5.13169,2021-08-01 00:41:09 UTC
41,MVU,5.13169,1,2021-07-31 14:22:07 UTC,1,5.13169,2021-07-31 14:22:07 UTC
40,Apurrencio,5.13169,1,2021-07-30 23:20:37 UTC,1,5.13169,2021-07-30 23:20:37 UTC
38,alexandrebvd,5.13169,1,2021-07-28 00:05:19 UTC,1,5.13169,2021-07-28 00:05:19 UTC
46,joaquinfontela,5.13169,1,2021-08-05 23:33:13 UTC,1,5.13169,2021-08-05 23:33:13 UTC
36,toro366,5.13169,1,2021-07-26 14:53:03 UTC,1,5.13169,2021-07-26 14:53:03 UTC
