Username,Submits,Top Score,Last Submit
MatiMoreyra,25,3.76001,2021-08-10 13:02:14 UTC
fernandocamargo,27,4.19138,2021-08-10 09:59:12 UTC
LeonSilva,9,4.22803,2021-08-10 06:08:16 UTC
mariofilho,61,4.27716,2021-08-10 14:01:26 UTC
fabio_cceruti,5,4.32023,2021-08-10 12:26:18 UTC
GSichelero,14,4.45548,2021-08-10 05:37:52 UTC
mateuskiper,18,4.52235,2021-08-10 02:32:49 UTC
igorkf,20,4.53494,2021-08-08 04:04:50 UTC
leandroroser,27,4.5611,2021-08-09 01:39:56 UTC
Rogerup,48,4.60337,2021-08-04 21:54:13 UTC
amanhard,12,4.60962,2021-08-05 21:12:48 UTC
lucasveljacic,1,4.61674,2021-08-09 00:36:49 UTC
ekamioka,6,4.64347,2021-08-06 18:22:12 UTC
wittmannf,5,4.68872,2021-08-09 17:31:30 UTC
rhg,42,4.6915,2021-08-03 22:39:44 UTC
eduagarcia,8,4.75396,2021-08-09 22:52:25 UTC
fabiojunior,6,4.83477,2021-08-05 18:46:57 UTC
marking,13,4.90874,2021-08-07 01:10:40 UTC
zmc,4,4.93327,2021-08-10 02:45:17 UTC
glissa,1,4.93411,2021-08-05 23:27:06 UTC
Joaguto,5,4.93411,2021-08-09 11:29:04 UTC
augu2to,2,5.03019,2021-08-07 23:34:16 UTC
tmprota,3,5.04117,2021-07-29 23:55:55 UTC
mikaelsouza,1,5.07354,2021-08-05 22:42:41 UTC
raphidophora,22,5.07354,2021-08-07 19:57:32 UTC
laciarmauro,2,5.07354,2021-08-08 19:59:01 UTC
lhzp,3,5.07969,2021-07-19 20:50:46 UTC
ricardo.ferreras,11,5.08816,2021-08-01 13:09:42 UTC
adson,1,5.11068,2021-07-20 01:31:00 UTC
Apurrencio,1,5.13169,2021-07-30 23:20:37 UTC
MVU,1,5.13169,2021-07-31 14:22:07 UTC
JuliKM,1,5.13169,2021-08-01 00:41:09 UTC
aseidel,1,5.13169,2021-07-29 22:20:41 UTC
borgesmarc,3,5.13169,2021-08-05 20:11:19 UTC
joaquinfontela,1,5.13169,2021-08-05 23:33:13 UTC
Geilson,1,5.13169,2021-08-06 20:57:19 UTC
exsantucho,1,5.13169,2021-08-02 01:42:26 UTC
alexandrebvd,1,5.13169,2021-07-28 00:05:19 UTC
urobhi,4,5.13169,2021-08-02 03:44:08 UTC
toro366,1,5.13169,2021-07-26 14:53:03 UTC
anabeatriz,1,5.13169,2021-07-26 22:00:18 UTC
danielph,1,5.13169,2021-07-16 20:55:11 UTC
haroldgarcia94,1,5.13169,2021-07-20 04:29:46 UTC
mpasqualini,1,5.13169,2021-07-20 18:28:05 UTC
wonderw,1,5.13169,2021-07-15 19:46:08 UTC
lgodoy,1,5.13169,2021-07-21 18:44:08 UTC
Fabricio,1,5.13169,2021-07-22 23:07:26 UTC
santik,4,5.13169,2021-07-23 18:43:34 UTC
fabiancpl,1,5.13169,2021-07-24 14:23:57 UTC
sjlva,1,5.13169,2021-07-21 16:36:55 UTC
larry96,14,5.13317,2021-08-02 01:50:46 UTC
abjimenez,23,5.15693,2021-08-02 05:31:24 UTC
Gus,14,5.19,2021-08-06 00:27:37 UTC
Ivo,15,5.25659,2021-08-09 00:26:24 UTC
fede_gr,22,5.26665,2021-07-24 00:47:47 UTC
eptos2,3,5.26683,2021-08-02 02:47:04 UTC
lain,2,5.39712,2021-08-03 00:32:30 UTC
marck,7,5.45618,2021-08-04 22:16:59 UTC
joaopeinado,3,5.46386,2021-07-16 18:32:29 UTC
rcmartinb,2,5.498,2021-07-16 17:50:51 UTC
datacuber,3,5.50262,2021-07-27 03:53:00 UTC
nicalvarez,4,5.53329,2021-08-06 03:03:54 UTC
ciroca,2,5.64664,2021-07-25 02:04:01 UTC
thiagoflm,1,5.80738,2021-08-02 15:01:42 UTC
giba,12,6.05852,2021-08-05 18:01:27 UTC
amandoc,2,6.08827,2021-07-27 18:56:36 UTC
Felipe Carneiro Wanderley,8,6.22919,2021-08-10 02:47:42 UTC
evertonaleixo,5,6.26524,2021-07-25 21:53:13 UTC
Gabo,32,6.30129,2021-08-08 20:32:08 UTC
larri,3,6.35753,2021-08-09 05:51:41 UTC
andre,3,6.45582,2021-07-24 15:54:05 UTC
gabrieljgimenez,3,6.55801,2021-08-04 01:27:36 UTC
lean_franco,1,6.61724,2021-07-21 22:29:05 UTC
diegulio,3,6.61907,2021-08-10 02:40:11 UTC
gabrielmpaula,4,6.82657,2021-07-23 00:13:06 UTC
assuncaolfi,6,7.22268,2021-08-09 03:19:06 UTC
giselecosta,3,7.27068,2021-08-04 01:32:31 UTC
slportela,7,7.45733,2021-08-09 03:31:52 UTC
jcnok,5,7.62747,2021-08-07 03:51:24 UTC
Laika,9,7.71368,2021-08-05 23:43:58 UTC
LucaxZonin,1,7.90991,2021-07-22 06:08:37 UTC
Bruno9tg,27,7.95723,2021-08-03 14:07:37 UTC
leocneves,1,8.11578,2021-07-17 22:34:03 UTC
r2,2,8.12473,2021-08-01 14:15:41 UTC
icecool,3,8.42247,2021-08-06 02:15:18 UTC
ngaggion,2,8.43024,2021-07-19 13:30:27 UTC
vitaliset,4,8.5634,2021-07-27 02:30:28 UTC
gabrielguarisa,3,8.58993,2021-07-27 00:02:19 UTC
lux,3,9.08,2021-07-30 04:25:19 UTC
nickel,8,9.88957,2021-07-21 04:23:56 UTC
melifluo,6,9.9344,2021-08-03 23:39:02 UTC
Pablo,7,10.37507,2021-07-25 02:21:20 UTC
