Username,borda count,sum of scores,id,churn,propensity category,propensity sku,hidden1,hidden2,hidden3,borda countold,sum of scoresold,idold,churnold,propensity categoryold,propensity skuold,hidden1old,hidden2old,hidden3old,Top Score,top borda count
tsuru24,273,4.614,279705,0.7275,0.7971,0.7449,0.7594,0.7783,0.8068,273,4.614,279705,0.7275,0.7971,0.7449,0.7594,0.7783,0.8068,4.614,273
SenseLab,271,4.5815,274433,0.7282,0.7962,0.7343,0.7639,0.7495,0.8094,270,4.5815,274433,0.7282,0.7962,0.7343,0.7639,0.7495,0.8094,4.5815,271
irishu,262,4.5267,271526,0.7137,0.7767,0.7315,0.7507,0.7555,0.7986,261,4.5267,271526,0.7137,0.7767,0.7315,0.7507,0.7555,0.7986,4.5267,262
PennTech,251,4.4986,282738,0.7041,0.7766,0.7252,0.7316,0.775,0.7861,251,4.4986,282738,0.7041,0.7766,0.7252,0.7316,0.775,0.7861,4.4986,251
orrim86,242,4.4672,286875,0.7017,0.7686,0.7219,0.74,0.7412,0.7938,246,4.478,286774,0.7011,0.769,0.7206,0.7372,0.7595,0.7906,4.478,246
r_yeganegi,240,4.4681,286183,0.6945,0.787,0.7236,0.7341,0.7477,0.7812,239,4.4681,286183,0.6945,0.787,0.7236,0.7341,0.7477,0.7812,4.4681,240
tichang,235,4.4258,281196,0.7017,0.7639,0.7259,0.7253,0.7243,0.7847,235,4.4258,281196,0.7017,0.7639,0.7259,0.7253,0.7243,0.7847,4.4258,235
naye971012,228,4.3998,284934,0.7236,0.7535,0.7223,0.7107,0.7183,0.7714,228,4.3998,284934,0.7236,0.7535,0.7223,0.7107,0.7183,0.7714,4.3998,228
UEC_bootcamp_2025,219,4.378,286070,0.6914,0.765,0.7264,0.688,0.7433,0.7639,218,4.378,286070,0.6914,0.765,0.7264,0.688,0.7433,0.7639,4.378,219
BASEL1NE,217,4.3467,284381,0.7083,0.7441,0.6932,0.7201,0.7133,0.7677,217,4.3467,284381,0.7083,0.7441,0.6932,0.7201,0.7133,0.7677,4.3467,217
horizonX,208,4.4012,280879,0.6898,0.7612,0.7117,0.7203,0.7393,0.7789,208,4.4012,280879,0.6898,0.7612,0.7117,0.7203,0.7393,0.7789,4.4012,208
teitlax,207,4.3151,283341,0.702,0.7447,0.6707,0.7326,0.6887,0.7764,207,4.3151,283341,0.702,0.7447,0.6707,0.7326,0.6887,0.7764,4.3151,207
koi2024,202,4.2751,285792,0.7038,0.7408,0.6739,0.7022,0.6982,0.7562,202,4.2751,285792,0.7038,0.7408,0.6739,0.7022,0.6982,0.7562,4.2751,202
kuro766,179,4.1989,269831,0.6988,0.7241,0.6953,0.6536,0.6888,0.7383,179,4.1989,269831,0.6988,0.7241,0.6953,0.6536,0.6888,0.7383,4.1989,179
beginner,178,4.2708,267086,0.6705,0.7389,0.6827,0.699,0.7285,0.7512,178,4.2708,267086,0.6705,0.7389,0.6827,0.699,0.7285,0.7512,4.2708,178
syurenuko,168,4.2297,286463,0.6676,0.7337,0.6899,0.6931,0.694,0.7514,168,4.2297,286463,0.6676,0.7337,0.6899,0.6931,0.694,0.7514,4.2297,168
rxd1218,167,4.2251,282578,0.6672,0.728,0.6971,0.659,0.7305,0.7433,167,4.2251,282578,0.6672,0.728,0.6971,0.659,0.7305,0.7433,4.2251,167
daniela,156,4.1871,285803,0.6655,0.7299,0.6829,0.6744,0.687,0.7474,156,4.1871,285803,0.6655,0.7299,0.6829,0.6744,0.687,0.7474,4.1871,156
suk1yak1,152,4.1632,280922,0.6704,0.7191,0.6839,0.6638,0.682,0.744,152,4.1632,280922,0.6704,0.7191,0.6839,0.6638,0.682,0.744,4.1632,152
wuquanquan,145,4.0441,276903,0.5397,0.7169,0.6707,0.674,0.6977,0.7451,145,4.0441,276903,0.5397,0.7169,0.6707,0.674,0.6977,0.7451,4.0441,145
recyp,135,4.0929,271995,0.6949,0.7009,0.6733,0.6479,0.6739,0.702,135,4.0929,271995,0.6949,0.7009,0.6733,0.6479,0.6739,0.702,4.0929,135
wittmannf,133,4.0813,286617,0.6942,0.6992,0.6627,0.6486,0.6601,0.7165,133,4.0813,286617,0.6942,0.6992,0.6627,0.6486,0.6601,0.7165,4.0813,133
y1nhl,124,4.0621,284762,0.6916,0.6891,0.6563,0.6484,0.6616,0.7151,124,4.0621,284762,0.6916,0.6891,0.6563,0.6484,0.6616,0.7151,4.0621,124
zozonz,123,4.1044,284028,0.6676,0.7033,0.6517,0.6433,0.7144,0.7241,123,4.1044,284028,0.6676,0.7033,0.6517,0.6433,0.7144,0.7241,4.1044,123
xiangqibu,118,4.122,265529,0.6848,0.7213,0.632,0.6978,0.6282,0.7579,118,4.122,265529,0.6848,0.7213,0.632,0.6978,0.6282,0.7579,4.122,118
baseline,117,4.0437,-1,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,117,4.0437,-1,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,4.0437,117
tetsuro731,114,4.0775,281398,0.6905,0.6964,0.6701,0.6448,0.6744,0.7013,114,4.0775,281398,0.6905,0.6964,0.6701,0.6448,0.6744,0.7013,4.0775,114
timdirr,111,4.0437,274260,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,111,4.0437,274260,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,4.0437,111
asdfasdfasdf,109,4.0494,284344,0.695,0.6943,0.6546,0.6426,0.655,0.7079,109,4.0494,284344,0.695,0.6943,0.6546,0.6426,0.655,0.7079,4.0494,109
ririka,105,4.0437,277365,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,105,4.0437,277365,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,4.0437,105
vanshnawander,99,4.0437,278319,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,99,4.0437,278319,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,4.0437,99
god111,98,4.0603,280250,0.6898,0.698,0.6457,0.6413,0.6725,0.713,98,4.0603,280250,0.6898,0.698,0.6457,0.6413,0.6725,0.713,4.0603,98
ccchen,96,4.0364,285230,0.6954,0.691,0.6563,0.6302,0.6708,0.6927,96,4.0364,285230,0.6954,0.691,0.6563,0.6302,0.6708,0.6927,4.0364,96
mitsuha0258,93,4.0437,279365,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,93,4.0437,279365,0.6911,0.6927,0.6484,0.6445,0.6602,0.7068,4.0437,93
